,SMILES,hit,tan to nearest abx,tan to nearest ts,row_num,matching_frags,cluster
355,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=NC(=CS1)C(=O)NCCC1=CC=CS1,0.5670300906896591,0.3920940170940171,0.4804646251319958,230,[0],48
356,FC1=CC=CC(CNC(=O)C2=CSC(NC(=O)C3=CC(Cl)=C(Cl)C=C3)=N2)=C1,0.5730326455831528,0.38885913229780394,0.4861407249466951,231,[0],39
357,FC1=C(CNC(=O)C2=CSC(NC(=O)C3=CC(Cl)=C(Cl)C=C3)=N2)C=CC=C1,0.539716300368309,0.3950026581605529,0.47853403141361256,232,[0],39
358,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=NC(=CS1)C(=O)NCC1=CC=CS1,0.6231897938251495,0.39712673165726015,0.48066875653082547,233,[0],48
359,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=NC(=CS1)C(=O)NCCC1=CC=CN=C1,0.5506059753894806,0.3964660408614025,0.48520084566596194,234,[0],48
360,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=NC(=CS1)C(=O)NCCC1=CC=NC=C1,0.5636259526014328,0.38308457711442784,0.49295774647887325,235,[0],48
361,CN(C)C1CCN(CC1)C(=O)C1=CSC(NC(=O)C2=CC(Cl)=C(Cl)C=C2)=N1,0.7441006010770798,0.42446808510638295,0.4630738522954092,236,[0],49
362,CN(C)C1CCN(C1)C(=O)C1=CSC(NC(=O)C2=CC(Cl)=C(Cl)C=C2)=N1,0.7292072659730912,0.4468766684463428,0.4633649932157395,237,[0],49
363,COCCN(C)C(=O)C1=CSC(NC(=O)C2=CC(Cl)=C(Cl)C=C2)=N1,0.5311669147014618,0.3927427961579509,0.4840764331210191,238,[0],26
365,FC1=CC=C(NC(=O)C2=NSC(Cl)=C2Cl)C=C1Cl,0.5851235899329186,0.3364215402431963,0.36278195488721804,239,[1],23
366,ClC1=C(Cl)C=C(C=C1)S(=O)(=O)C1=CC(Cl)=C(Cl)C=C1,0.7733694446086884,0.48760330578512395,0.3792372881355932,240,[4],55
368,ClC1=C(Cl)C=C2N=C(NC(=O)C3=CC=CC=C3)SC2=C1,0.5208474254608154,0.3806881243063263,0.44694533762057875,241,[8],72
369,FC1=CC=C(NC(=O)C2=CC(Cl)=C(Cl)C=C2)C=C1Cl,0.5881549447774888,0.2917341977309562,0.4905933429811867,242,"[0, 1]",43
