,SMILES,hit,tan to nearest abx,tan to nearest ts,row_num,matching_frags,cluster
938,CC(OC1=C(Cl)C=CC=C1)C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.6193759298324585,0.32016925246826516,0.4155982905982906,593,"[2, 24, 26]",91
941,OC(=O)CC12CC3CC(C1)CC(C3)(C2)N1N=CC(NC2=CC=C(F)C(Cl)=C2)=C(Cl)C1=O,0.6753834044933319,0.47645569620253164,0.49105367793240556,594,[1],173
942,CC1CCN(CC1)C(\C)=C\C1=NSC(NC2=CC=C(F)C(Cl)=C2)=N1,0.4299477136135101,0.3508771929824561,0.3705926481620405,595,[1],37
943,C\C(NCC1=CC=CC=C1)=C/C1=NSC(NC2=CC=C(F)C(Cl)=C2)=N1,0.515960254073143,0.34108527131782945,0.38556067588325654,596,[1],68
944,C\C(NCCC1=CC=CC=C1)=C/C1=NSC(NC2=CC=C(F)C(Cl)=C2)=N1,0.4853086000680923,0.34073309241094474,0.3692191053828658,597,[1],68
945,C\C(NCC1=CC=C2OCOC2=C1)=C/C1=NSC(NC2=CC=C(F)C(Cl)=C2)=N1,0.4592783600091934,0.42250530785562634,0.4455882352941177,598,[1],68
947,O=C(c1cccc(Cl)c1Cl)N1CCN(c2ccccc2F)CC1,0.4458756440877914,0.4165853658536585,0.49387755102040815,599,[3],103
949,Cc1ccccc1N1CCN(C(=O)c2ccc(Cl)c(Cl)c2)CC1,0.4284017123281955,0.3467583497053045,0.49513513513513513,600,[0],103
950,O=C(Nc1ccon1)c1ccc(Cl)c(Cl)c1,0.5204562044143677,0.2543859649122807,0.37578814627994955,601,[0],108
951,Nc1c(C(=O)Nc2ccc(F)c(Cl)c2)sc2ncccc12,0.4072634914517403,0.4748347737671581,0.4822439526505404,602,[1],157
952,COC1=CC=C(CC2=NN=C(NC(=O)C3=CC(Cl)=C(Cl)C=C3)S2)C=C1OC,0.4632715025544167,0.40652173913043477,0.416551724137931,603,[0],98
953,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=NN=C(CC2=CC=CC=C2)S1,0.55023790538311,0.32934131736526945,0.42857142857142855,604,[0],98
954,CCOCC1=NN=C(NC(=O)C2=CC(Cl)=C(Cl)C=C2)S1,0.526666434109211,0.30371203599550056,0.42739079102715466,605,[0],46
955,O=C(Nc1cccc(Cl)c1)N1CCN(c2ccc(Cl)c(Cl)c2)CC1,0.6479872363805771,0.34230355220667386,0.47695390781563124,606,"[7, 8]",111
956,FC1=CC=C(NC2=C(Cl)C(=O)N(N=C2)C23CC4CC(CC(C4)C2)C3)C=C1Cl,0.7166295456886291,0.44575725026852847,0.45870646766169154,607,[1],173
958,COC1=CC=C(Cl)C=C1NC(=O)N1CCN(CC1)C1=CC(Cl)=C(Cl)C=C1,0.5926994532346725,0.34413727359389895,0.3932291666666667,608,"[7, 8]",111
959,FC(F)(F)C1=C(NC(=O)N2CCN(CC2)C2=CC(Cl)=C(Cl)C=C2)C=CC=C1,0.5877173089981079,0.35926993275696445,0.39522821576763484,609,"[7, 8]",111
960,ClC1=C(Cl)C=C(C=C1)N1CCN(CC1)C(=O)NC12CC3CC(CC(C3)C1)C2,0.6110323607921601,0.34002006018054165,0.35294117647058826,610,"[7, 8]",119
961,O=C(Nc1ccc(F)c(Cl)c1)c1cc(-c2ccc(O)cc2)on1,0.430605388879776,0.36348949919224555,0.38720829732065687,611,"[1, 33]",159
962,O=C(Nc1ccc(F)c(Cl)c1)c1cc(-c2ccccc2O)on1,0.4451299920678139,0.40387722132471726,0.4022316684378321,612,"[1, 33]",159
963,CCCCC1=CC=C(NC(=O)N2CCN(CC2)C2=CC(Cl)=C(Cl)C=C2)C=C1,0.5497344481945038,0.35149023638232274,0.3879310344827586,613,"[7, 8]",111
964,COC1=C(OC)C=C(NC(=O)NCC2=CC=C(Cl)C(Cl)=C2)C=C1,0.4197617122530937,0.30269413629160064,0.4642313546423135,614,"[11, 12]",35
965,ClC1=CC=C(CNC(=O)NC2=CC=C3OCOC3=C2)C=C1Cl,0.4346325719356537,0.30637636080870917,0.4463768115942029,615,"[11, 12]",130
966,CCC1=CC=C(NC(=O)N2CCN(CC2)C2=CC(Cl)=C(Cl)C=C2)C=C1,0.5214729711413384,0.3437826541274817,0.40834845735027225,616,"[7, 8]",111
967,CC1=CC=C(NC(=O)N2CCN(CC2)C2=CC(Cl)=C(Cl)C=C2)C=C1Cl,0.6838510209321975,0.35507246376811596,0.42678571428571427,617,"[7, 8]",111
968,ClC1=CC(Cl)=C(C=C1)C(=O)COC(=O)C1CN(NC(=O)C2=CC(Cl)=C(Cl)C=C2)C(=O)C1,0.4664656800031662,0.4474260679079956,0.4470338983050847,618,[0],61
969,COC(C)C1=NN=C(NC(=O)C2=CSC(=N2)C2=CC=C(C=C2)C(F)(F)F)S1,0.4165048140287399,0.47086614173228347,0.4697420634920635,619,[29],125
970,O=c1ccc(-c2ccco2)nn1Cc1ccc(Cl)c(Cl)c1,0.4107031413912773,0.40071831708568495,0.40238450074515647,620,"[40, 54]",67
971,O=C(Nc1ccc(Cl)c(Cl)c1)c1cnn2cccnc12,0.4414520874619484,0.35344827586206895,0.36392156862745095,621,[21],59
972,O=C(Nc1ccc(F)c(Cl)c1)c1cc(-c2cccc(O)c2)on1,0.4007825249433517,0.3782912412681354,0.3998651382333109,622,"[1, 33]",159
973,CN(CC1=CC=CC=C1)C1=NN=C(NC(=O)NC2=CC=C(F)C(Cl)=C2)S1,0.425744871199131,0.3400560224089636,0.354552780016116,623,[1],177
974,CN(C1CCCCC1)C1=NN=C(NC(=O)NC2=CC=C(F)C(Cl)=C2)S1,0.4186481745541096,0.34977578475336324,0.35111464968152867,624,[1],57
