Structure,ID,Mol Weight,Smiles,query_ID
,Z2840601411,344.38,CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2COC(=O)C2)C=C1F,450614896
,Z5106395084,344.38,CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@H]2COC(=O)C2)C=C1F,450614896
,Z3592515920,314.35,CSC1=C(F)C=C(NC(=O)NC23CCC(C2)OC3)C=C1F,450614896
,Z2295659705,330.39,CC(C)(C)SC1=C(F)C=C(NC(=O)NC2CCOC2)C=C1F,450614896
,Z2415895252,330.39,CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2CCOC2)C=C1F,450614896
,Z2109370155,330.39,CCCC1(CCOC1)NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896
,Z4011846504,332.37,"CO[C@@H]1COC[C@@H]1N(C)C(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:2,6,c:21,t:13,16|",450614896
,Z2371427533,356.43,CC(C)(C)SC1=C(F)C=C(NC(=O)N2CCC22CCOC2)C=C1F,450614896
,Z2622658489,388.43,CSC1=C(F)C=C(NC(=O)NC2(CCOC2)C(=O)OC(C)(C)C)C=C1F,450614896
,Z2868870903,300.32,"CSC1=C(F)C=C(NC(=O)N[C@]23C[C@H]2COC3)C=C1F |&1:11,13,c:2,19,t:5|",450614896
,Z4465817576,344.38,CSC1=C(F)C=C(NC(=O)NC2COC3(CCOC3)C2)C=C1F,450614896
,Z5058995793,312.33,CSC1=C(F)C=C(NC(=O)NC2(CCOC2)C#C)C=C1F,450614896
,Z2295660354,360.42,CC(C)(C)SC1=C(F)C=C(NC(=O)NC2(CO)CCOC2)C=C1F,450614896
